Date_of_report;Date_of_measurement;Wave;Region_code;Region_name;Subgroup_category;Subgroup;Indicator_category;Indicator;Sample_size;Figure_type;Value;Lower_limit;Upper_limit;Change_wrt_previous_measurement
2021-05-04 10:00:00;2020-09-29;01;NL00;Nederland;Alle;Totaal;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;NL00;Nederland;Leeftijd;16-24;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;NL00;Nederland;Leeftijd;25-39;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;NL00;Nederland;Leeftijd;40-54;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;NL00;Nederland;Leeftijd;55-69;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;NL00;Nederland;Leeftijd;70+;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;NL00;Nederland;Geslacht;Man;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;NL00;Nederland;Geslacht;Vrouw;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;NL00;Nederland;Opleiding;Laag;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;NL00;Nederland;Opleiding;Midden;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;NL00;Nederland;Opleiding;Hoog;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;VR01;Groningen;Alle;Totaal;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;VR02;Fryslân;Alle;Totaal;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;VR03;Drenthe;Alle;Totaal;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;VR04;IJsselland;Alle;Totaal;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;VR05;Twente;Alle;Totaal;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;VR06;Noord- en Oost-Gelderland;Alle;Totaal;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;VR07;Gelderland-Midden;Alle;Totaal;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;VR08;Gelderland-Zuid;Alle;Totaal;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;VR09;Utrecht;Alle;Totaal;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;VR10;Noord-Holland-Noord;Alle;Totaal;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;VR11;Zaanstreek-Waterland;Alle;Totaal;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;VR12;Kennemerland;Alle;Totaal;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;VR13;Amsterdam-Amstelland;Alle;Totaal;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;VR14;Gooi en Vechtstreek;Alle;Totaal;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;VR15;Haaglanden;Alle;Totaal;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;VR16;Hollands-Midden;Alle;Totaal;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;VR17;Rotterdam-Rijnmond;Alle;Totaal;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;VR18;Zuid-Holland-Zuid;Alle;Totaal;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;VR19;Zeeland;Alle;Totaal;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;VR20;Midden- en West-Brabant;Alle;Totaal;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;VR21;Brabant-Noord;Alle;Totaal;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;VR22;Brabant-Zuidoost;Alle;Totaal;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;VR23;Limburg-Noord;Alle;Totaal;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;VR24;Limburg-Zuid;Alle;Totaal;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;VR25;Flevoland;Alle;Totaal;Draagvlak;Avondklok;0;Percentage;;;;
2021-05-04 10:00:00;2020-09-29;01;NL00;Nederland;Alle;Totaal;Draagvlak;Bij_klachten_blijf_thuis;5002;Percentage;82.3;81.2;83.5;
2021-05-04 10:00:00;2020-09-29;01;NL00;Nederland;Leeftijd;16-24;Draagvlak;Bij_klachten_blijf_thuis;576;Percentage;77.7;73.7;81.3;
2021-05-04 10:00:00;2020-09-29;01;NL00;Nederland;Leeftijd;25-39;Draagvlak;Bij_klachten_blijf_thuis;1226;Percentage;80.9;78.4;83.1;
2021-05-04 10:00:00;2020-09-29;01;NL00;Nederland;Leeftijd;40-54;Draagvlak;Bij_klachten_blijf_thuis;1373;Percentage;81.1;78.8;83.2;
2021-05-04 10:00:00;2020-09-29;01;NL00;Nederland;Leeftijd;55-69;Draagvlak;Bij_klachten_blijf_thuis;1189;Percentage;85.5;83.3;87.6;
